Date,Open,High,Low,Close,Adj Close,Volume
2007-03-06,121.279999,122.290001,120.980003,122.059998,82.956673,9048100
2007-03-07,122.010002,122.599998,121.870003,122.000000,82.915932,6965700
2007-03-08,122.730003,123.080002,122.279999,122.800003,83.459610,7570300
2007-03-09,123.230003,123.349998,122.330002,122.989998,83.588692,9315800
2007-03-12,122.690002,123.529999,122.519997,123.150002,83.697525,6396100
2007-03-13,122.519997,122.989998,120.860001,121.019997,82.249855,13714600
2007-03-14,121.029999,121.690002,119.500000,121.660004,82.684814,22827500
2007-03-15,121.250000,122.040001,121.209999,121.790001,82.773178,7905600
2007-03-16,121.690002,121.779999,120.250000,121.050003,82.457825,8491600
2007-03-19,121.559998,122.279999,121.500000,122.279999,83.295639,6829200
2007-03-20,122.040001,122.820000,122.010002,122.820000,83.663498,7412600
2007-03-21,122.800003,124.739998,122.320000,124.290001,84.664864,9723600
2007-03-22,124.459999,124.639999,123.980003,124.449997,84.773834,6477800
2007-03-23,124.500000,125.010002,124.370003,124.690002,84.937347,5276200
2007-03-26,124.750000,124.750000,123.570000,124.360001,84.712494,7972500
2007-03-27,124.209999,124.230003,123.660004,123.889999,84.392380,7691500
2007-03-28,123.519997,123.610001,122.449997,123.000000,83.786110,13868800
2007-03-29,123.669998,123.720001,122.559998,123.300003,83.990448,9107700
2007-03-30,123.370003,124.059998,122.330002,123.589996,84.188026,9827200
2007-04-02,123.570000,123.820000,123.110001,123.650002,84.228882,6195200
2007-04-03,124.209999,125.260002,124.209999,124.989998,85.141640,7328400
2007-04-04,125.080002,125.339996,124.870003,125.180000,85.271072,4879800
2007-04-05,125.120003,125.699997,124.949997,125.459999,85.461845,4046000
2007-04-09,125.720001,125.900002,125.529999,125.650002,85.591209,3529200
2007-04-10,125.650002,125.860001,125.470001,125.589996,85.550369,5668800
2007-04-11,125.760002,125.779999,124.529999,124.900002,85.080315,9250600
2007-04-12,124.750000,125.540001,124.260002,125.410004,85.427742,5984200
2007-04-13,125.760002,126.150002,125.199997,126.150002,85.931900,5935800
2007-04-16,126.470001,127.290001,126.449997,127.040001,86.538109,7969000
2007-04-17,127.279999,127.870003,127.040001,127.750000,87.021736,7932200
2007-04-18,127.440002,128.339996,127.290001,128.039993,87.219315,9222000
2007-04-19,127.330002,128.270004,127.269997,128.229996,87.348701,8618600
2007-04-20,129.089996,129.570007,128.889999,129.570007,88.334480,10280800
2007-04-23,129.389999,129.729996,129.059998,129.169998,88.061852,7509000
2007-04-24,129.330002,129.770004,128.899994,129.479996,88.273148,10591300
2007-04-25,129.919998,130.990005,129.559998,130.619995,89.050346,12649900
2007-04-26,130.800003,131.220001,130.619995,131.199997,89.445747,9708800
2007-04-27,130.710007,131.369995,130.630005,131.229996,89.466232,7526200
2007-04-30,131.169998,131.979996,130.539993,130.669998,89.084442,10288000
2007-05-01,130.839996,131.320007,130.309998,131.289993,89.507080,21228200
2007-05-02,131.500000,132.490005,131.360001,132.139999,90.086601,9341000
2007-05-03,132.279999,132.429993,131.899994,132.389999,90.257057,9363700
2007-05-04,132.649994,132.800003,132.229996,132.740005,90.495659,10687600
2007-05-07,132.809998,133.130005,132.740005,133.039993,90.700188,10477600
2007-05-08,132.690002,133.220001,132.350006,133.119995,90.754715,9462600
2007-05-09,132.990005,133.770004,132.800003,133.570007,91.061523,9628000
2007-05-10,133.190002,133.429993,132.210007,132.500000,90.332024,14855800
2007-05-11,132.639999,133.559998,132.600006,133.559998,91.054718,10151200
2007-05-14,133.610001,133.949997,133.089996,133.720001,91.163788,10734000
2007-05-15,133.789993,134.940002,133.630005,134.119995,91.436577,21494200
2007-05-16,134.309998,135.149994,133.850006,135.119995,92.118263,14911200
2007-05-17,134.949997,135.399994,134.710007,134.929993,91.988686,12408200
2007-05-18,135.080002,135.500000,135.000000,135.500000,92.620323,9481600
2007-05-21,135.389999,135.740005,135.160004,135.199997,92.415260,12668600
2007-05-22,135.369995,135.729996,135.119995,135.160004,92.387886,11193000
2007-05-23,135.559998,135.990005,134.940002,135.199997,92.415260,10997000
2007-05-24,135.270004,136.330002,134.149994,134.389999,91.861534,28156800
2007-05-25,134.759995,135.050003,134.389999,134.889999,92.203323,10227600
2007-05-29,135.169998,135.899994,134.570007,135.220001,92.428871,12177200
2007-05-30,134.580002,136.309998,134.419998,136.279999,93.153442,14456600
2007-05-31,136.399994,136.660004,136.080002,136.289993,93.160355,8996400
